outcome,recency<0.33q,recency>0.66q,0.33q<=recency<=0.66q,lifetime<0.33q,lifetime>0.66q,0.33q<=lifetime<=0.66q,bigstoreshare<0.33q,bigstoreshare>0.66q,0.33q<=bigstoreshare<=0.66q,sum0<0.33q,sum0>0.66q,0.33q<=sum0<=0.66q,treatment,treat1,treat2,numbasket0,sum0,avgcart<0.33q,avgcart>0.66q,0.33q<=avgcart<=0.66q
False,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,50,14479.26,1,0,0
True,0,0,1,1,0,0,0,0,1,0,1,0,0,0,0,78,60167.88,0,1,0
True,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,201,219180.23,0,1,0
False,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,31,36896.61,0,1,0
False,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,5,1075.1,1,0,0
True,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,197,78088.65,0,0,1
False,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,27,5575.75,1,0,0
True,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,104,14718.92,1,0,0
False,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,49,22218.14,0,0,1
True,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,9,10178.84,0,1,0
True,1,0,0,0,0,1,0,0,1,0,1,0,0,0,0,298,164592.91,0,0,1
False,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,4,771.6999900000001,1,0,0
True,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,44,52322.61,0,1,0
True,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,384,103046.36,1,0,0
True,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,118,58809.32,0,0,1
True,1,0,0,0,0,1,0,0,1,0,1,0,0,0,0,141,97488.9,0,1,0
True,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,67,29288.76,0,0,1
False,0,1,0,1,0,0,0,0,1,1,0,0,0,0,0,7,3071.8,0,0,1
False,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,31,18443.47,0,0,1
False,0,0,1,1,0,0,1,0,0,1,0,0,0,0,0,1,210.8,1,0,0
True,0,0,1,1,0,0,0,1,0,1,0,0,0,0,0,25,8664.48,0,0,1
True,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,209,64500.79,1,0,0
False,0,0,1,1,0,0,0,1,0,1,0,0,0,0,0,15,8854.09,0,0,1
True,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,34,25866.16,0,1,0
True,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,254,95823.39,0,0,1
True,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,65,52923.76,0,1,0
False,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,41,23694.92,0,0,1
False,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,43,29616.78,0,1,0
True,0,0,1,1,0,0,0,1,0,0,1,0,0,0,0,38,49000.24,0,1,0
True,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,168,59000.93,0,0,1
True,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,45,10971.61,1,0,0
True,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,54,50230.42,0,1,0
True,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,46,19400.25,0,0,1
True,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,44,44814.05,0,1,0
True,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,176,101619.53,0,0,1
True,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0,60,25188.07,0,0,1
False,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,1,126.0,1,0,0
True,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,230,56378.57,1,0,0
False,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0,30,21077.01,0,1,0
True,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,28,12726.69,0,0,1
False,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,7,9211.62,0,1,0
True,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,214,42257.76,1,0,0
True,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,99,53469.46,0,0,1
False,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0,343,154494.86,0,0,1
False,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,48,21771.36,0,0,1
True,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0,27,19008.07,0,1,0
True,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,39,13928.56,0,0,1
True,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,200,53071.22,1,0,0
False,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,131,18738.55,1,0,0
True,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,108,44920.62,0,0,1
True,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,137,50359.03,0,0,1
False,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,3,271.4,1,0,0
False,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,2,928.00001,0,0,1
True,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,60,100568.45,0,1,0
False,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,7,3205.36,0,0,1
True,0,0,1,1,0,0,1,0,0,0,1,0,0,0,0,81,45219.52,0,0,1
True,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,58,26018.33,0,0,1
False,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,2,349.4,1,0,0
True,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,48,20822.9,0,0,1
False,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,161,117590.92,0,1,0
True,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,159,129346.51,0,1,0
True,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,20,17561.24,0,1,0
True,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,55,19337.39,0,0,1
True,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,326,98356.33,1,0,0
True,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,217,215988.8,0,1,0
False,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0,8,1016.0,1,0,0
False,0,1,0,1,0,0,0,0,1,1,0,0,0,0,0,6,2944.86,0,0,1
True,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,240,94727.17,0,0,1
True,0,0,1,0,0,1,1,0,0,0,0,1,0,0,0,54,34675.11,0,1,0
True,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,133,44626.94,1,0,0
True,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,95,15999.93,1,0,0
True,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,76,26727.29,0,0,1
True,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,149,65288.14,0,0,1
True,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,69,24176.89,0,0,1
False,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0,42,23115.91,0,0,1
True,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0,110,20456.24,1,0,0
True,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,74,21960.2,1,0,0
True,0,0,1,0,0,1,1,0,0,0,1,0,0,0,0,169,137815.76,0,1,0
True,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,23,14264.47,0,1,0
True,0,0,1,0,0,1,1,0,0,0,0,1,0,0,0,47,29110.97,0,1,0
True,0,0,1,1,0,0,0,1,0,1,0,0,0,0,0,3,7428.9999,0,1,0
True,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0,59,17044.48,1,0,0
True,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,102,76724.89,0,1,0
True,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,188,260499.62,0,1,0
False,0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,10,4838.68,0,0,1
True,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,235,171122.47,0,1,0
True,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,60,42151.79,0,1,0
True,0,0,1,1,0,0,0,0,1,0,1,0,0,0,0,53,59495.71,0,1,0
False,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,11,21179.8,0,1,0
True,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,54,28206.53,0,0,1
False,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0,5,1193.0,1,0,0
False,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,73,157019.55,0,1,0
False,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,7,7324.45,0,1,0
False,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,1,333.09999,1,0,0
True,0,0,1,1,0,0,0,1,0,1,0,0,0,0,0,9,7297.9,0,1,0
True,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,29,21969.9,0,1,0
True,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,26,30446.55,0,1,0
False,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,10,5002.01,0,0,1
False,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,3,606.26,1,0,0
False,0,1,0,1,0,0,0,0,1,1,0,0,0,0,0,14,2971.57,1,0,0
True,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,39,15851.3,0,0,1
True,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,346,245789.75,0,1,0
True,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0,50,39620.39,0,1,0
True,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,113,48025.84,0,0,1
False,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,4,527.3000099999999,1,0,0
True,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,40,19678.0,0,0,1
True,1,0,0,0,0,1,0,0,1,0,1,0,0,0,0,109,74360.8,0,1,0
True,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,126,148823.07,0,1,0
False,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,116,41385.9,0,0,1
True,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,75,72508.37,0,1,0
True,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,60,29852.68,0,0,1
True,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,16,2700.37,1,0,0
False,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,5,2799.59,0,0,1
True,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,278,226552.56,0,1,0
True,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,222,432082.79,0,1,0
True,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,58,32086.18,0,0,1
True,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,136,36255.71,1,0,0
False,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,2,608.7000099999999,1,0,0
True,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,109,127529.22,0,1,0
True,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0,84,38013.18,0,0,1
True,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,93,88638.79,0,1,0
True,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,66,19484.82,1,0,0
True,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,58,25825.07,0,0,1
True,0,1,0,1,0,0,0,0,1,1,0,0,0,0,0,5,874.3,1,0,0
False,0,1,0,1,0,0,0,0,1,1,0,0,0,0,0,7,3877.39,0,0,1
True,0,0,1,0,0,1,1,0,0,0,0,1,0,0,0,47,34140.0,0,1,0
True,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,87,25912.5,1,0,0
True,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,204,173010.25,0,1,0
False,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0,48,56394.23,0,1,0
True,0,0,1,0,1,0,1,0,0,0,0,1,0,0,0,91,41198.22,0,0,1
False,0,1,0,1,0,0,0,0,1,1,0,0,0,0,0,6,962.3100099999999,1,0,0
False,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,3,2032.7,0,1,0
True,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,20,4482.03,1,0,0
False,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,5,576.03999,1,0,0
False,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,1,340.39999,0,0,1
True,0,0,1,0,0,1,1,0,0,1,0,0,0,0,0,25,7317.6701,1,0,0
True,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,42,14172.77,1,0,0
True,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,202,194751.09,0,1,0
True,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,53,114356.51,0,1,0
